A,B,C,D,E,F
3,76.25,12,-20.86,75.1754,27.3616
3,76.04,13,-18.61,-51.6124,-6.3372
34,355.2,6,-32.65,5.96713,0.62717
29,310.42,22,-0.95,8.34349,25.6785
15,184.45,28,11.13,4.14519,2.79596
2,67.45,17,-10.68,74.3763,19.9291
2,67.18,37,29.12,43.1292,84.6456
9,129.98,13,-18.48,51.0732,49.3207
26,283.17,16,-12.83,-27.9878,-15.5139
29,310.4,32,19.26,-9.38945,-17.6589
38,391.11,37,29.45,-89.3281,-17.3636
38,391.21,19,-6.56,19.0855,24.4283
25,273.98,28,11.55,3.38095,7.25046
30,319.32,0,-44.57,-36.8169,-38.125
30,319.06,24,3.11,17.6693,3.43456
23,256.26,11,-22.71,52.8301,81.351
19,220.32,16,-12.73,-27.7915,-25.9159
37,381.97,1,-42.77,-29.1089,-7.25765
26,283.17,36,27.35,20.0865,33.4295
39,399.98,25,5.33,-16.4827,-40.7961
32,337.08,12,-20.8,-35.7884,-53.0584
8,121.24,28,11.01,64.9057,72.085
4,85.52,3,-38.98,-74.2357,-27.0196
35,364.36,38,31,8.96152,27.5806
19,220.18,18,-8.99,-2.5715,-1.54511
28,301.46,10,-24.51,-4.88354,-14.1828
26,283.3,13,-18.49,-58.1598,-40.7239
9,130.31,5,-34.59,10.7181,2.47446
30,319.15,9,-26.75,15.8255,15.2825
37,382.18,20,-4.88,72.9322,45.573
2,67.03,38,31.29,-25.9808,-15
10,139.53,8,-28.8,58.6899,58.6898
25,274.29,16,-12.8,4.22525,7.94652
1,58.36,26,7.2,33.841,48.3299
22,247.13,1,-42.69,-55.3069,-13.7895
23,256.42,17,-10.7,-6.61997,-8.78499
9,130.16,16,-12.54,43.0688,44.599
39,399.97,16,-12.48,19.9186,11.5
23,256.01,16,-12.62,9.50001,16.4545
21,238.3,3,-38.69,-52.0262,-10.1129
34,355.39,4,-36.72,58.8835,65.3967
11,148.34,25,5.37,-67.618,-65.2978
11,148.03,39,33.24,-4.77399,-5.11947
24,265.33,39,33.17,74.6417,48.4728
7,112.07,12,-20.61,4.80631,1.37819
9,130.08,26,7.42,42.2332,70.2877
10,139.43,11,-22.48,23.7522,10.5751
15,184.14,7,-30.69,54.2418,80.4166
9,130.38,9,-26.55,-2.63023,-5.39276
38,391.1,1,-42.93,22.6556,27.9772
14,175.14,29,13.37,-35.9297,-12.3716
14,175.01,30,15.34,39.2651,7.63235
26,283.04,5,-34.57,-66.1751,-10.4811
7,112.39,16,-12.87,-17.8658,-2.19365
7,111.98,35,25.26,11.6128,28.7427
27,292.34,20,-4.86,-81.9781,-12.9841
21,238,19,-7,-71.934,-69.4658
39,400.16,18,-8.67,-13.4819,-6.57556
31,328.41,14,-16.44,-34.2867,-20.6015
21,238.37,17,-10.55,-70.6111,-7.42151
12,157.45,38,31.49,41.4227,17.5829
27,292.15,31,17.55,-50.9888,-84.8595
29,310.29,35,25.04,3.80357,8.15677
18,211.37,36,27.01,-26.3711,-76.587
1,58.49,28,11.27,18.5411,57.0634
23,256.49,18,-8.69,-23.6003,-58.4126
14,175.53,34,23.42,-4.59627,-3.85672
21,238.2,20,-4.87,21.3465,5.32228
8,121.37,21,-2.59,-22.8286,-2.80299
